1280 100 -200 3 12
1790 -100 100 1 6
1800 -130 230 1 6
1930 -120 30 1 6
1940 -190 150 1 6
2100 550 -150 3 14
2150 100 -150 3 14
2500 650 800 2 10
3460 190 800 2 10
3640 -40 -90 2 18
4000 290 -90 1 20
4020 510 -90 1 20
4040 300 -90 1 20
4080 720 -90 1 20
4100 490 -90 1 20
4120 360 -90 1 20
4300 750 802 2 10
4330 600 802 2 10
6320 15 -100 2 22
6370 15 -100 2 22
6505 200 -100 1 20
6506 320 -99 1 20
6800 380 -100 1 20
6801 600 -99 1 20
6870 1100 140 1 24
6890 1000 240 1 24
6891 -90 200 1 6
6892 -180 300 1 6
7010 500 900 2 10
7200 400 -101 1 26
7240 300 -101 1 26
7360 100 -180 3 12
7400 500 -180 3 14
7600 -100 0 2 18
7650 -100 120 2 18
7900 1050 300 1 24
7950 1000 190 1 24
8600 -200 -100 3 18
8700 -200 -100 3 18
8900 1060 20 2 2
8930 1120 130 2 2
8960 1190 250 2 2
10300 600 -120 2 16
10340 600 -120 2 16
10380 600 -120 2 16
10420 600 -120 2 16
10800 300 -100 1 20
10830 480 -100 1 20
10860 600 -100 1 20
10890 20 -100 1 20
10920 700 -100 1 20
10950 850 -100 1 20
10980 520 -100 1 20
11010 50 -100 1 20
11040 280 -100 1 20
11070 540 -100 1 20
11100 380 -100 1 20
