12 12 12 12 12 12 12 12 12 12
12 12 12 12 12 12 12 12 12 12
12 12 12 12 12 12 12 12 12 12
12 12 12 12 12 12 12 12 12 12
12 12 12 12 12 12 12 12 12 12
9 10 11 9 10 11 9 10 11 9
0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0
14 13 0 0 0 0 0 0 0 0
16 15 0 0 0 0 0 8 8 0
14 13 6 6 6 0 0 0 0 0
16 15 0 0 0 0 0 6 6 6
0 0 8 0 0 8 0 0 8 1
1 1 1 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0
1 1 1 1 1 1 1 1 1 1
5 5 5 5 5 5 5 5 5 5
4 4 17 4 4 4 4 17 4 4
5 5 18 5 5 5 5 18 5 5
4 4 4 4 4 4 4 4 4 4
1 1 1 1 1 1 1 1 1 1
0 0 8 1 1 1 1 8 0 0
1 1 1 1 1 1 1 1 1 1
5 5 5 5 5 5 5 5 5 5
4 4 17 4 4 4 4 17 4 4
5 5 18 5 5 5 5 18 5 5
4 4 4 4 4 4 4 4 4 4
1 1 1 1 1 1 1 1 1 1
0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0
0 2 0 0 8 2 0 0 8 0
0 0 0 0 0 0 0 0 0 0
14 13 14 13 6 6 6 6 0 0
16 15 16 15 1 1 0 0 0 0
14 13 14 13 0 0 6 6 6 6
16 15 16 15 0 0 0 0 1 1
0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1
3 3 3 3 3 3 3 3 3 3
19 19 19 19 19 19 19 19 19 19
21 22 23 31 31 31 31 31 31 31
24 25 26 33 32 32 32 32 32 32
21 22 26 34 33 32 32 32 32 32
24 25 26 34 33 32 32 32 32 32
19 19 19 19 19 19 19 19 19 19
21 22 23 31 31 31 31 31 31 31
24 25 26 33 32 32 32 32 32 32
21 22 26 34 33 32 32 32 32 32
24 25 26 34 33 32 32 32 32 32
