75 700 -100 1 0
260 100 -100 2 4
600 1000 30 3 2 
610 1050 110 3 2 
620 1100 190 3 2 
630 1150 280 3 2 
830 80 -100 2 4
850 320 -100 2 4 
1100 -100 80 3 8 
1125 -100 80 3 8 
1150 -100 80 3 8 
1175 -100 80 3 8 
1400 1000 0 1 0 
1480 180 -100 2 4 
1860 380 -100 2 4 
1890 500 -100 2 4 
2260 400 -100 2 4 
2900 600 -80 3 16 
2925 600 -80 3 16 
2950 600 -80 3 16 
2975 600 -80 3 16
3380 450 -110 1 4 
3400 50 -110 1 4 
3550 30 -80 2 4
3552 590 -78 2 4
3570 300 -90 2 4
4620 1180 80 3 2
4622 1182 300 3 2
4660 1000 180 3 2
4900 100 -80 2 4
4930 290 -80 2 4 
4960 560 -80 2 4
8200 100 -80 2 4
8230 100 -100 2 4
8260 100 -120 2 4
8290 100 -140 2 4
8320 100 -160 2 4
8350 100 -180 2 4
8380 100 -200 2 4
9600 360 -80 2 4
9620 280 -81 2 4 
9621 440 -80 2 4
9640 200 -80 2 4
9641 520 -80 2 4
9660 120 -81 2 4
9661 600 -80 2 4
9680 40 -81 2 4
9681 680 -80 2 4
