50 -4 4 1 1 30 4 4 -1 -1 100 -3 -5 1 1 1 4 1 -1 0
0 0 0 0 0 5 20 0 0 0 15 0 0 0 0 0 0 0 0 0
80 -6 0 0 0 30 0 0 0 0 135 -8 0 0 0 1 0 0 0 0
0 0 0 0 0 5 25 0 0 0 0 0 0 0 0 0 0 0 0 0
40 0 3 0 0 140 0 8 0 6 1 0 0 0 0 1 0 0 0 0
33 0 0 0 0 13 45 0 0 0 0 0 0 0 0 0 0 0 0 0
80 5 0 0 0 20 0 0 0 0 100 0 8 0 0 1 0 0 0 0
0 0 0 0 4 8 12 0 0 5 9 13 0 0 0 0 0 0 0 0
100 6 0 0 0 100 -7 5 0 0 1 0 0 0 0 1 0 0 0 0
45 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65 0 -4 0 0 150 -3 -5 0 0 1 0 0 0 0 1 0 0 0 0
50 60 0 0 0 40 60 80 0 0 0 0 0 0 0 0 0 0 0 0
70 0 3 0 0 80 3 -1 0 0 50 0 -3 0 0 1 0 0 0 0
50 0 0 0 0 30 60 0 0 0 0 0 0 0 0 0 0 0 0 0
50 0 5 0 0 30 0 0 0 0 200 0 5 0 0 1 0 0 0 0
0 0 0 0 0 5 25 0 0 0 30 0 0 0 0 0 0 0 0 0
60 -6 6 0 0 80 6 0 0 0 110 -6 -6 0 0 1 0 0 0 0
20 0 0 0 0 23 60 0 0 0 0 0 0 0 0 0 0 0 0 0
150 4 1 0 0 130 5 1 0 0 1 0 0 0 0 1 0 0 0 0
30 70 100 140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100 0 8 0 0 120 0 8 0 0 1 0 0 0 0 1 0 0 0 0
60 65 70 0 0 20 25 30 0 0 0 0 0 0 0 0 0 0 0 0
40 3 4 0 0 50 5 3 0 0 60 -5 4 0 0 60 -2 5 0 0
34 0 0 0 0 5 25 0 0 0 2 15 0 0 0 0 0 0 0 0
70 -6 0 0 0 20 0 0 0 0 120 0 6 0 0 1 0 0 0 0
65 0 0 0 0 1 6 10 16 0 22 28 0 0 0 0 0 0 0 0
70 0 6 0 0 30 0 0 0 0 110 6 0 0 0 1 0 0 0 0
35 40 0 0 0 2 8 12 16 0 12 18 22 26 0 0 0 0 0 0
